X_id,dispatch_ts,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,lat,long,deadzone_area
15,2021-12-24 12:39:48+00,mv,Intersection,,BROOKLINE AVE,JERSEY ST,764586.34,2951665.65,42.346821482648544,-71.09893467676315,Fenway
86,2017-08-16 11:55:25+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
651,2018-05-26 02:21:17+00,mv,Intersection,,BROOKLINE AVE,FENWAY,763429.53,2950182.17,42.34276561687913,-71.10323942942463,Fenway
835,2022-03-17 07:55:29+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,SOLDIERS FIELD RD,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
1332,2020-07-20 21:33:46+00,mv,Intersection,,RIVERWAY,FENWAY,763332.42,2950636.57,42.34401374520701,-71.10359081692296,Fenway
1610,2015-06-28 21:46:17+00,mv,Street,BROOKLINE AVE,PARK DR,FULLERTON ST,763620.29,2950391.22,42.34336109177991,-71.10257384770945,Fenway
1764,2016-07-09 13:31:37+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
2151,2015-05-20 18:40:06+00,mv,Intersection,,PILGRIM RD,BROOKLINE AVE,763377.83,2950113.47,42.3425777617416,-71.10343184527804,Fenway
2171,2018-09-13 22:49:49+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
2213,2021-01-31 13:02:28+00,mv,Intersection,,WESTERN AVE,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
2862,2018-06-26 20:55:26+00,mv,Intersection,,KILMARNOCK ST,BOYLSTON ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
2916,2017-04-16 07:06:36+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
2940,2020-09-20 16:10:46+00,mv,Intersection,,PARK DR,RIVERWAY,763749.93,2950188.44,42.342778724656135,-71.10205418858222,Fenway
3030,2015-09-27 00:23:44+00,mv,Intersection,,WESTERN AVE,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
3249,2023-08-12 10:57:19+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
3309,2023-09-05 18:44:46+00,mv,Intersection,,BROOKLINE AVE,FENWAY,763429.53,2950182.17,42.34276561687913,-71.10323942942463,Fenway
3547,2019-09-07 04:00:37+00,mv,Other,,,,771645.08,2957045.47,42.36148975414562,-71.07272363829279,Esplanade
3834,2018-01-15 20:26:58+00,mv,Street,BROOKLINE AVE,FULLERTON ST,PARK DR,763708.39,2950875.61,42.34431199530382,-71.10158587379702,Fenway
4182,2020-06-06 05:38:31+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
4235,2018-02-25 00:48:45+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
4837,2021-01-27 14:07:58+00,mv,Intersection,,BROOKLINE AVE,PILGRIM RD,763377.83,2950113.47,42.3425777617416,-71.10343184527804,Fenway
4839,2016-03-12 17:18:37+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,WESTERN AVE,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
4900,2020-01-12 21:00:47+00,mv,Intersection,,RIVERWAY,PARK DR,763749.93,2950188.44,42.342778724656135,-71.10205418858222,Fenway
5834,2015-08-21 06:38:11+00,mv,Other,,NULL,NULL,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
5845,2019-02-01 11:59:16+00,mv,Street,BROOKLINE AVE,OVERLAND ST,RALPHS WAY,764439.16,2951338.53,42.34606533260951,-71.09973109745617,Fenway
6223,2022-06-03 05:28:13+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
6577,2015-12-18 03:44:13+00,mv,Other,,NULL,NULL,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
6598,2017-09-10 18:08:50+00,mv,Other,,NULL,NULL,770993.81,2957059.03,42.361535893159775,-71.07513309052295,Esplanade
6879,2021-02-21 07:55:59+00,mv,Intersection,,BOYLSTON ST,BROOKLINE AVE,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
7100,2015-05-18 18:05:50+00,mv,Street,BROOKLINE AVE,BURLINGTON AVE,FULLERTON ST,763919.7,2951286.27,42.34530037453312,-71.10054716529363,Fenway
7588,2022-01-06 13:44:22+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
7709,2018-07-16 09:20:10+00,mv,Intersection,,PARK DR,BROOKLINE AVE,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
8123,2021-04-27 04:39:07+00,mv,Street,KILMARNOCK ST,QUEENSBERRY ST,PARK DR,764564.43,2949920.81,42.342030834061816,-71.09905790056821,Fenway
8222,2021-03-12 06:51:19+00,mv,Intersection,,BROOKLINE AVE,PARK DR,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
8253,2021-09-06 12:28:37+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
8383,2023-05-24 11:21:44+00,mv,Street,BROOKLINE AVE,FULLERTON ST,PARK DR,763641.06,2950945.4,42.34434239432016,-71.10155368831053,Fenway
8619,2016-10-17 05:47:03+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
9039,2018-07-31 15:03:27+00,mv,Street,LEO M BIRMINGHAM PKWY,LOTHROP ST,WAVERLY ST,751897.7,2956676.58,42.36085289058363,-71.14620594610604,Middle Left
9057,2015-11-22 20:52:01+00,mv,Other,,NULL,NULL,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
9609,2015-07-16 17:18:06+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
9758,2015-12-01 09:00:43+00,mv,Other,,NULL,NULL,770993.81,2957059.03,42.361535893159775,-71.07513309052295,Esplanade
9795,2015-11-23 11:28:33+00,mv,Intersection,,WESTERN AVE,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
9935,2018-07-29 19:36:38+00,mv,Intersection,,KILMARNOCK ST,BOYLSTON ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
10329,2021-10-27 14:36:38+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
10806,2018-05-30 14:51:46+00,mv,Other,,,,771803.48,2956824.88,42.36088227160855,-71.0721416531097,Esplanade
11248,2021-10-29 10:45:56+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
11788,2015-06-06 11:18:35+00,mv,Intersection,,BROOKLINE AVE,RIVERWAY,763443,2950168.8,42.34272875713498,-71.10318983518071,Fenway
11811,2018-07-19 14:11:33+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,WESTERN AVE,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
12445,2023-03-07 19:58:10+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
12453,2015-05-12 02:08:33+00,mv,Intersection,,BROOKLINE AVE,RIVERWAY,763443,2950168.8,42.34272875713498,-71.10318983518071,Fenway
12557,2021-05-31 15:26:39+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
12776,2022-09-15 17:30:54+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
12972,2015-09-14 00:15:31+00,mv,Other,,NULL,NULL,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
13350,2021-11-22 19:03:06+00,mv,Intersection,,RICHARD B. ROSS WAY,BOYLSTON ST,764616.92,2950746.93,42.344300091136184,-71.09883754615572,Fenway
13366,2019-04-08 08:12:21+00,mv,Street,BOYLSTON ST,JERSEY ST,RICHARD B. ROSS WAY,764733.79,2950687.59,42.3443706159087,-71.0985224373212,Fenway
13367,2017-07-15 09:50:40+00,mv,Intersection,,BOYLSTON ST,BROOKLINE AVE,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
13455,2016-08-05 10:23:44+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,WESTERN AVE,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
13556,2016-11-07 07:25:28+00,mv,Street,OVERLAND ST,BROOKLINE AVE,DEAD END,764005.67,2951539.48,42.34671179498571,-71.10083905862338,Fenway
13670,2023-06-03 17:20:48+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
13756,2015-07-15 07:36:54+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
13815,2015-01-25 22:20:44+00,mv,Intersection,,RIVERWAY,BROOKLINE AVE,763443,2950168.8,42.34272875713498,-71.10318983518071,Fenway
14970,2016-08-30 15:43:33+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
15012,2017-08-12 06:57:53+00,mv,Street,YAWKEY WAY,RALPHS WAY,BROOKLINE AVE,764734.95,2951501.36,42.34628839542641,-71.09868175194686,Fenway
15201,2023-10-23 22:17:44+00,mv,Street,KILMARNOCK ST,BOYLSTON ST,PETERBOROUGH ST,764267.34,2950502.8,42.34370176843266,-71.0998834568897,Fenway
15544,2023-07-12 21:37:34+00,mv,Street,WESTERN AVE,KELLEY CT,RICHARDSON ST,752660.98,2957058.77,42.36199503673996,-71.14304307532952,Middle Left
15728,2018-06-27 13:41:00+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
15903,2019-09-04 17:34:47+00,mv,Street,FENWAY ,BROOKLINE AVE,HIGGINSON CIR,763576.82,2949518.25,42.34137998621273,-71.10191637244533,Fenway
16101,2018-09-11 07:23:44+00,mv,Other,,,,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
16193,2015-12-07 10:21:55+00,mv,Intersection,,BROOKLINE AVE,PILGRIM RD,763377.83,2950113.47,42.3425777617416,-71.10343184527804,Fenway
16510,2020-12-09 15:12:44+00,mv,Intersection,,JERSEY ST,VAN NESS ST,764778.34,2951152.65,42.34541131419919,-71.09823338129662,Fenway
16664,2019-01-07 12:22:02+00,mv,Intersection,,BROOKLINE AVE,FENWAY,763429.53,2950182.17,42.34276561687913,-71.10323942942463,Fenway
16818,2022-06-11 01:46:04+00,mv,Street,SOLDIERS FIELD RD,WESTERN AVE,TELFORD ST,752401.21,2957289.11,42.36282407931031,-71.14415882497345,Middle Left
16925,2020-08-26 05:13:38+00,mv,Street,FENWAY ,BROOKLINE AVE,HIGGINSON CIR,763576.82,2949518.25,42.34137998621273,-71.10191637244533,Fenway
17332,2017-10-14 17:27:15+00,mv,Intersection,,BROOKLINE AVE,FENWAY,763429.53,2950182.17,42.34276561687913,-71.10323942942463,Fenway
17880,2022-04-17 00:27:34+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
18230,2021-10-31 09:50:36+00,mv,Street,CHARLESBANK RD,,,771754.87,2956802,42.36081712080691,-71.0723417953817,Esplanade
18384,2023-10-03 12:11:47+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
18439,2018-08-18 02:36:07+00,mv,Other,,,,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
18830,2016-08-01 02:06:54+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
18966,2019-06-10 18:43:13+00,mv,Intersection,,PARK DR,BROOKLINE AVE,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
19004,2022-09-02 06:09:46+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
19045,2019-11-01 08:44:12+00,mv,Street,BROOKLINE AVE,BURLINGTON AVE,FULLERTON ST,763919.7,2951286.27,42.34530037453312,-71.10054716529363,Fenway
19168,2022-10-05 09:53:35+00,mv,Street,CHARLESBANK RD,,,771754.87,2956802,42.36081712080691,-71.0723417953817,Esplanade
19456,2021-09-20 18:22:18+00,mv,Street,WESTERN AVE,RICHARDSON ST,MACKIN ST,752352.06,2957120.81,42.3618038653587,-71.1440598817118,Middle Left
20009,2022-09-05 21:42:19+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,WESTERN AVE,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
20970,2018-06-05 01:13:25+00,mv,Other,,,,771645.08,2957045.47,42.36148975414562,-71.07272363829279,Esplanade
21245,2019-07-24 12:38:34+00,mv,Street,PETERBOROUGH ST,KILMARNOCK ST,PARK DR,764045.27,2950241.21,42.342752183457314,-71.10087825399738,Fenway
